"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50"
"g1",0,3.855,12.45,165.404,2.056,6484.446,0,157.304,4.511,367.177,7.467,0,226.094,4.956,0,5.804,7.471,0,7.197,92.477,19.969,1.541,0,1.577,0,131.526,0,8.957,0,0,0,113.138,0,0,0,50.285,0,6.685,304.717,0,1.579,0,0,225.755,12.23,0,0,0.985,0,0
"g2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.317,274.551,0,0,0,0,0,0
"g3",1132.223,124.014,565.175,158.997,33.554,15.182,12.317,93.735,380.966,786.64,1148.296,738.684,84.196,623.213,945.288,2.931,1087.134,511.373,101.749,4.166,562.571,159.686,943.141,3.012,6.714,929.002,739.83,852.998,579.375,29.508,128.852,168.518,249.028,97.08,48.132,14.813,499.359,145.393,6.224,112.006,177.006,488.97,42.339,67.163,26.315,16.587,12.997,4.848,249.843,816.049
"g4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.159,0,0,0,0,0,0,4.653,0
"g5",110.537,817.908,18.302,60.634,493.055,250.41,79.877,2076.567,1030.435,24.625,51.731,2996.523,50.013,169.749,5.096,617.997,5.35,1495.766,599.266,118.197,5.51,5.831,190.959,58.793,8.956,105.536,328.163,377.414,5.216,0,164.095,203.764,115.27,112.999,11.729,175.517,336.101,8.498,116.97,43.704,639.619,58.531,15.055,4.97,175.619,48.915,2085.928,2123.345,2257.112,9.718
"g6",0,0,143.177,0,0,0,300.266,0,764.639,0,0.83,0,213.007,0,231.847,8.706,33.333,0,0,0,0,63.166,0,0,0,0,376.59,0,0,0,41.497,0,14.188,1.59,0,0,0.995,0,0,108.228,0,0,0,868.23,82.434,0.862,0,2.956,77.543,0
"g7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g9",0,3.855,197.128,6.281,0,6.197,109.851,3.084,1.128,173.276,480.328,0,107.962,258.96,15.287,0,393.096,0,0,345.78,9.077,0,108.924,0,0,12.967,0,0,358.261,29.859,0,1.154,0,0,0,10.775,0,571.93,0,0,0,0,343.77,0.789,0,0,0,0,0,11.403
"g10",60.867,1326.108,20.75,8.375,0,49.574,24.317,0,32.706,29.037,5.808,0,4.377,35.932,0,0,0.575,3.859,3.599,0.701,0,0.77,2.625,3.154,0,1.852,1.768,21.497,0,244.084,0,0,0,1049.966,9.284,0,0.995,10.863,0,11.807,0,18.481,0,0.789,12.23,0,0,0,0,72.219
"g11",0,0,0,0,0,0,72.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.311,0,0,0,0,0,0,0,0,0,0,0,310.751,0,0,0,0,0,0,0,0,0,0,2.127,0,0,0,0,0
"g12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g13",0,0,0,0,0,0,5.921,0,1.353,0,0,0,6.901,0,0,0,9.155,0,0,8.22,0,0,0,0,4.24,0,0,0,0,0,0,0,1.717,0,0,0,0,0,0,0,0,0,0,2.493,0,2.328,0,0,5.04,0
"g14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g15",0,0,0,0,0,0,0,0,0,0,0,0,0,1.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g16",0,0,112.051,0,0,6.197,2.115,3.084,0,0,0.83,2.354,0,0,1.274,0,0,0,0,2.104,0,0,0,0,24.484,0,1.768,0,0,0,0,0,0.709,0,82.786,0,0,0,0,0,0,0,0,0,33.499,0,0,0,0,0
"g17",877.616,46.26,99.601,18.843,836.801,61.967,128.988,1209.081,2070.536,1494.046,1514.078,4.708,3358.535,610.847,2.548,29.019,1076.416,2150.973,28.788,702.025,422.986,6.933,1558.683,622.94,20.618,602.057,1249.994,684.319,8.122,13.173,745.009,367.85,489.592,8.742,74.275,51.004,2176.967,335.073,312.465,35.42,12.63,413.173,1835.257,867.007,546.095,153.454,9.159,2242.516,1214.442,1617.908
"g18",0,19.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.072,0,0,0,0,0,0,0,0,4.31,0,0,0,27.608,0,0,0,0,0,0,0,0,0,0
"g19",0,34.695,78.81,46.062,4.112,12.393,0,6.169,362.008,0,0,2.354,1.459,458.433,0,0,0.575,592.749,0,0,18.154,1572.237,0,3.154,1.289,11.115,0,0,933.205,126.464,26.056,70.33,42.528,0,0,0,0,0,12.119,0,0,0,344.428,11.834,18.61,0,0,0,1.551,0
"g20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g21",619.724,35.967,138.259,11.746,6.949,6.197,507.556,12.338,110.794,6.931,2.647,2255.909,45.169,1.995,305.733,97.824,6.569,210.676,7.899,324.03,7.77,714.441,1.365,98.708,186.272,2.279,17.061,1.756,8.907,4.742,5.993,1.154,7.158,11.079,300.382,6.587,7.197,1.671,323.009,2525.997,0,9.148,25.045,52.023,3.026,117.332,4.222,23.982,1.535,96.609
"g22",0,1121.795,190.903,544.366,378.308,446.165,37.005,24.675,27.067,753.088,4.978,435.494,1706.769,1321.549,290.574,7447.532,10.919,366.219,4523.262,1.403,385.77,825.219,183.82,1018.783,292.506,314.885,3.536,16.123,1.805,35.129,607.009,2.309,94.35,8.742,677.679,213.353,62.711,1070.395,556.637,0,443.273,124.044,6.586,159.366,189.827,790.527,53.124,1207.929,10.856,30.408
"g23",7.078,3.855,0,0,2.056,6.197,0,6.169,0,0,0,0,37.933,95.406,0,0,1.724,0,10.796,0,0,0.77,1.312,1.577,0,0,0,1.791,6.317,6.148,0,0,0,2.384,0,0,0,0,0,0,11.067,0,1.317,0,0,0,0,0,0,0
"g24",403.42,30.84,109.976,263.808,167.998,0,9.515,0,80.073,291.306,36.506,663.375,211.548,101.601,319.784,696.465,339.074,83.36,0,53.922,69.892,121.709,178.492,37.85,148.193,82.75,193.617,8.957,548.772,0,57.902,709.724,36.889,19.869,311.114,268.064,17.917,173.803,0,0,380.914,0,187.69,0,278.073,5.173,117.183,21.676,0,90.147
"g25",0,0,0,2.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.878,0,0,0,1255.841,0,0,0,9.192,0,0,0,0,0,0,0,0,0,0.985,0,0
"g26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g27",1.416,0,0,3.266,0,18.59,2.125,6.2,1.308,1.873,0,9.487,1.459,2.49,0,5.949,1.144,0.386,3.653,2.791,6.308,1.641,1.312,0,0,5.576,0,1.881,0.812,0,1.544,0,360.722,6.755,4.317,0.726,0.995,0,0,7.241,1.405,0,1.976,0,0.064,0,4.552,0,3.133,1.584
"g28",25.479,393.322,191.504,505.004,546.902,163.098,1785.728,61.719,224.587,54.234,32.391,331.04,29.354,43.255,2.548,6174.075,107.101,142.043,71.611,727.625,430.411,63.073,410.763,11.039,443.341,4.891,113.596,166.691,2662.638,344.21,23.894,201.548,396.405,16.07,6.12,32.729,74.935,787.589,141.105,31.307,164.045,198.97,378.015,7.195,18.887,564.899,35.73,10.06,9.941,548.801
"g29",1.416,3.855,253.216,2.094,0,12.393,0,12.338,49.623,0.937,0,2.354,0,3.717,0,2.902,6.322,0.772,433.679,0,0.908,0.77,0,0,605.657,0,1.768,1.791,8.122,6.148,2.895,63.496,563.852,5.015,2.166,28.074,0,0,35.423,3.936,63.149,2.64,0,1.578,3.19,122.892,13.739,11.824,1606.669,2.534
"g30",0,0,0,0,0,0,1.057,3.084,0,0,0,0,177.992,0,0,0,0,0,0,0,0,0,0,0,7.732,0,81.329,0,0,0,43.427,0,0,0,0,8.161,0,0,0,0,0,0,0,1.578,43.549,0,0,0,0,0
"g31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g32",0,0,24.9,2.094,193.184,0,1.057,0,0,0,0.83,0,0,1.239,420.383,2.902,602.299,202.224,0,0.701,218.782,0.77,0,0,1.289,192.658,1.768,0,1.805,0,668.771,0,0,0,205.031,19.396,3.982,0,0,3.936,1.579,0,0,0.789,49.982,0,0,0,0,338.289
"g33",0,0,0,58.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709,0,0,0,0,0,0,0,0,0,17.781,0.789,0,0,0,1934.602,1.551,1.267
"g34",0,0,215.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346.814,0,0,0,0,0,235.206,0,0,0,0,0,0,0,0,3.858,0,0,0,0,0,0
"g35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g36",63.698,2925.919,539.507,1309.808,113.081,0,348.901,3.084,32.706,987.398,626.41,28.25,1775.442,377.908,459.873,426.585,381.188,373.83,0,35.77,173.37,742.434,754.597,52.043,72.163,351.972,1221.706,17.914,271.633,666.578,190.112,5.772,446.652,131.215,314.897,387.204,474.812,152.078,477.835,0,410.12,81.922,229.18,3.156,80.823,11.207,143.8,304.455,883.987,418.667
"g37",59.89,2711.737,428.576,444.517,269.092,5329.995,377.067,1791.97,249.658,246.805,71.991,2207.884,207.886,45.609,51.096,715.734,135.365,132.21,1182.931,39.803,272.299,180.445,145.552,349.114,134.984,321.499,437.763,236.645,962.381,447.119,344.432,364.005,319.833,331.519,135.916,193.749,223.012,342.978,125.843,2379.791,2051.911,229.991,81.945,304.437,152.484,304.01,223.907,969.626,1055.542,656.838
"g38",21.233,0,41.687,12.562,59.625,12.393,2.115,9.253,241.414,0,223.906,0,132.021,334.814,0,2.902,1025.842,142.144,0,5.611,20.877,0,0,7.885,0,64.837,409.528,0,0,0,201.722,0,81.212,140.363,220.366,75.809,600.503,538.958,509.813,0,0,0,17.123,543.88,30.308,0,499.17,0,120.967,34.209
"g39",1223.014,0,402.555,404.087,542.79,0,2.115,0,1323.93,75.871,4.978,2.354,1.459,520.397,1803.824,2109.709,130.463,368.102,1.799,1056.285,406.647,0,35.433,0,833.745,7.41,106.082,0,0.902,587.529,176.602,8.081,413.324,192.332,0,26.579,0,28.41,582.598,1.968,53.677,202.019,1.317,1656.894,0,60.347,0,5239.934,10.856,2.534
"g40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g42",0,0,20.169,2.094,0,6.197,0,18.506,0,0,0,0,0,0,0,0,0,0,1.799,0,0,0.77,0,0,0,0,0,0,0.902,1.756,0,0,0,0,0.774,0,1.991,0.836,0,1.968,1.579,1.32,0,0,0,5.173,4.58,0,0,18.08
"g43",0,0,0,0,0,0,0,0,53.006,0,70.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.777,0,0,0,0,0
"g44",1.416,0,130.727,108.873,102.801,3315.313,0,6.169,1.128,0,0,32.958,0,0,14.013,0,319.672,326.492,0,650.88,3.64,993.702,10.499,28.387,139.185,183.396,0,3.583,3.61,0,0,0,5.675,20.664,0,0,2.956,1.671,628.618,0,0,5.28,158.055,0,0,4.31,13.739,0,0,192.584
"g45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g46",0,0,11.413,12.876,0,0,0,0,0,0,56.402,0,0,16.108,6.369,0,0,0,62.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.167
"g47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g48",0,0,2.075,0,0,0,6.344,0,53.006,369.182,382.409,388.434,1.459,1.239,2.548,0,0,0,0,0,2.723,0,3.937,1.577,131.44,20.377,24.045,68.074,55.953,0,0,0,0,44.499,4.642,0,4.977,0,38.955,0,20.523,63.362,0,0,0.532,0,0,4.926,0,67.151
"g49",0,3.855,2.075,0,0,12.393,1.057,697.042,0,0.937,0,0,1.459,0,1.274,2.902,48.85,0,86.311,161.317,0.908,3.081,1.312,58.351,0,0,3.536,0,0.902,1.756,0.965,0,0,0,0,18.663,1.991,1.671,0.866,0,9.472,3.96,0.659,0,1.781,0,1.832,0,0,0
"g50",394.177,1.041,16.538,345.568,306.327,0,1.279,7.217,43.848,1.883,54.767,1742.234,1.546,2.466,1.274,2.902,2.695,0,489.978,2.111,3.658,113.413,0,1.892,1.289,5.539,0,13.866,0,0.79,883.782,3.463,0.709,65.917,916.049,0.718,46.784,4.153,0.866,5.943,3.189,6.534,74.418,4.962,38.284,107.909,0,10.582,13.973,7.513
"g51",0,0,0,10.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.494,0,0,0,0,0,0
"g52",22.648,3.855,2.075,4.187,18.504,0,0,0,2.256,0,0,0,10.213,208.642,2.548,2.902,1.149,3.087,0,0.701,0,0,1.312,0,0,0,0,30.454,0,0,13.511,0,0,0,0,0,0,0,0,0,0,1.32,0.659,4.734,141.971,13.794,0,0.985,0,1.267
"g53",0,0,0,0,0,0,0,0,0,0,3.327,0,0,0,0,0,0,0,0,1.403,216.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.449,0,0.659,0,58.49,0,0,0,0,15.204
"g54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.444,0,0,0,3.154,0,0,0,0,0,0,0,0,117.76,0,0,0,19.908,0,0,0,0,0,0,0,55.831,162.937,0,0,0,0
"g55",4.247,11.565,149.879,8.438,4.811,36.127,432.225,37.013,6.97,98.37,3.203,138.965,11.146,7.137,3.656,5.804,295.965,56.376,46.979,0.701,345.786,5.669,12.822,1114.574,3.634,380.426,116.849,22.16,323.688,20.919,17.284,6.257,91.392,12.144,7.048,9.626,27.792,0,1.705,29.851,6.552,32.499,4.458,408.9,25.704,10.13,7.327,125.231,3.381,1260.766
"g56",1241.09,138.779,16.6,4.187,30.84,6.197,16.916,6.169,1.128,50.581,4.148,2.354,0,23.641,0,0,56.895,0.772,1.799,257.96,915.41,0,0,545.664,0,3.705,100.777,57.325,9.927,0,143.791,2.309,52.07,0,20.89,196.831,298.435,144.558,284.807,0,0,9.24,0,3.156,140.908,109.486,0,1599.13,355.332,781.739
"g57",1636.937,177.328,603.833,345.463,392.7,1521.05,245.256,1458.794,805.239,1684.931,757.541,1634.602,753.213,1326.926,512.103,20.314,628.413,1.544,7.197,502.475,1058.227,237.04,1197.277,89.893,281.94,1983.863,120.226,710.563,2588.337,3166.045,1327.207,1115.302,757.887,1474.774,153.193,2262.401,1723.029,1289.388,1551.781,112.163,2037.656,1145.242,2442.59,872.553,471.446,288.682,784.032,41.333,1386.2,89.957
"g58",0,4.163,3.403,0,7.319,12.331,0.952,0,0,2.285,0,37.36,0,0,2.561,2.873,2.287,0,3.203,0.575,1.788,10.014,20.958,7.444,1.276,3.409,0,4.425,0.902,2.705,2.586,0,0,0,22.886,4.368,0,4.061,0.866,11.748,2515.408,4.515,2.167,0,0,2.19,0,0,6.033,2.547
"g59",2330.89,4744.962,961.007,2209.227,1951.289,9495.19,1433.867,6332.256,1093.005,1479.247,1546.244,480.246,2439.352,2213.621,1068.511,2136.058,1006.992,1050.486,30.588,1954.275,1084.868,1646.472,2530.683,1850.037,2548.114,1894.184,1578.016,2058.654,1237.724,1429.742,2003.39,1931.433,1620.389,1534.087,1017.567,1569.922,984.533,1944.785,3379.157,43.291,144.469,2791.916,881.282,2585.281,1602.113,1309.114,1618.88,2470.651,3450.401,1448.89
"g60",0,0,0,0,0,0,0,0,0,0,0,0,0,96.967,0,0,0,0,0,0,0,0.77,1.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g61",0,0,0,25.125,0,0,0,24.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g62",441.639,2486.762,241.844,71.207,793.625,1108.471,395.421,3627.337,409.386,112.401,313.105,2.354,733.853,225.505,467.516,626.818,140.227,245.448,0,754.762,273.216,294.259,292.652,293.933,398.187,281.578,414.302,102.11,0,209.842,63.461,117.71,22.701,269.44,52.612,15.804,84.61,69.354,478.293,11.807,0,5.28,558.461,1.578,342.433,114.659,51.292,15.765,431.199,5.068
"g63",0,0,0,2.094,0,0,0,0,0,2.81,0,2.354,0,22.303,0,0,78.734,0,1.799,0,0.908,144.064,0,1.577,0,183.396,0,0,0.902,0,30.881,973.221,0,0,0,0,0,10.027,0,0,37.889,19.801,2.634,0,0.532,447.429,0.916,0,0,10.149
"g64",0,0,0.934,15.577,8.142,22.246,0,63.199,117.865,0,3.369,4.897,0,3.036,1.376,8.648,1.253,3.373,24.866,0.877,7.688,922.248,2.625,0,85.977,10.022,424.309,0,0,6.92,8.019,12.33,0,14.767,302.897,9.748,2.956,7.52,3.956,22.216,12.614,4.871,1.772,1.609,0,293.501,1.749,0,1931.619,6.297
"g65",0,0,0,0,0,0,3.172,0,0,0,0,0,0,1.239,0,0,18.172,0,0,22.002,23.627,0,0,0,49.367,0,0,11.25,0,0,0,0,0,0,0,0,0,0,11.159,0,0,0,0,0,0,0,0,0,38.771,0
"g66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575,0,14.394,0,0,0,0,1.577,0,0,0,0,0,1.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g67",0,3.855,0,0,0,0,1.057,0,0,0,0,2.354,0,2.069,834.307,8.706,0,0.71,0,3.493,0,0,0,33.308,2.577,0,0,121.816,0,0,1.959,0,0,0,0,1.43,46.784,1.671,0,0,0,0,2.634,4.734,1.053,0,0,0.985,3.102,0
"g68",82.1,5410.676,647.616,1469.852,546.45,173.508,7.401,268.342,558.254,1462.63,1080.245,0,868.076,448.533,2903.761,197.332,851.098,914.641,1401.615,1145.528,324.955,1679.141,118.111,1178.066,72.163,1132.887,836.276,1019.313,0.902,1398.144,108.084,1303.262,397.973,1317.197,378.341,1006.389,182.161,883.231,37.224,53.13,0,1162.984,537.381,620.897,57.427,610.736,5213.795,15.765,3.102,775.454
"g69",64.745,0,0,321.26,168.08,20.573,4.229,0,590.667,5.62,25.413,0,170.697,463.662,1080.753,540.341,40.246,0,8.601,0,410.405,286.186,207.796,43.779,0,5.557,0,1154.959,62.83,302.749,6.726,3.717,0.277,248.474,289.357,27.535,181.235,107.7,977.051,13.774,0,24.434,0,3.211,2.366,138.022,46.044,0,0,0
"g70",9.909,0,377.427,41.874,176.818,1234.885,4.229,0,285.33,121.768,3.393,987.965,18.966,23.542,5.096,87.116,35.057,30.102,3.599,129.054,296.952,27.731,114.174,0,123.709,50.017,17.68,184.515,1170.301,0,28.951,65.805,39.726,52.438,342.967,68.244,479.679,218.082,13.851,11.807,348.897,51.482,15.147,187.689,22.864,480.577,629.552,1.971,341.188,3.801
"g71",2.52,3.855,300.422,8.186,4.934,0,1.914,0,1.883,3.7,494.523,0,362.228,4.039,1.274,4.875,0.603,3.149,13.692,6.067,11.8,1048.063,1.312,6.135,0,2.556,0,11.053,0,0,4.208,171.797,4.945,0,8.139,1.616,870.279,1.947,0,11.138,11.998,16.897,0,0.671,36.333,6.966,7.282,7.143,35.98,17.51
"g72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g74",15.599,104.508,36.251,48.825,32.999,12.393,36.064,51.972,11.278,35.341,7.177,56.217,129.132,2.466,9.682,17.673,49.166,10.312,57.883,3.346,23.518,14.536,12.257,34.869,9.575,31.789,12.889,36.187,6.146,161.136,14.022,28.181,23.566,57.398,53.718,10.337,37.965,3.86,3.419,163.542,36.311,127.608,20.224,11.463,12.224,179.11,11.394,42.476,18.564,35.159
"g75",0,0,0,2.094,0,0,0,0,0,0,0,0,0,4.956,0,2.902,0,0,0,0,9.077,0.77,0,3.154,0,0,0,0,0,0,0,401.757,0.709,0,0,0,0,0,0,0,0,27.721,0,0,0,0,51.292,0,37.22,0
"g76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g77",2.817,27.1,0,0,5.243,0,3.182,0,0,0,1.469,6.356,0,0,1.159,2.902,4.034,0,28.896,1.396,2.523,0.786,0,1.593,0,13.319,1.803,5.947,0,3.372,0,2.805,1.064,2.368,2.097,1.422,1.005,0.919,1.29,13.637,10.672,0,0.922,0,1.537,6.854,0,0,0,0
"g78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g79",0,0,0,16.75,0,0,0,0,41.728,0,0,0,0,0,29.236,0,0,0,0,12.295,0,0.77,0,0,7.732,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g80",1415.509,6138.07,1632.818,1298.104,2550.496,5436.145,3307.465,540.786,3981.614,903.809,2622.491,1798.592,1199.258,3259.818,1688.295,2054.02,3106.048,2960.519,446.094,1621.716,1963.053,2062.294,2014.787,1449.321,1451.27,1571.277,1613.394,2786.988,9376.024,1889.965,2729.359,1686.743,1395.062,4966.499,3571.166,3167.674,4650.04,2095.309,3002.52,2601.226,4230.263,633.792,2491.435,5906.809,1936.671,1917.703,1763.825,724.042,1825.82,1267.747
"g81",198.072,23.13,68.165,272.204,1019.479,106.832,205.767,93.365,100.305,64.387,182.09,155.515,453.719,79.658,613.81,371.1,329.58,206.23,20.008,500.224,34.892,456.125,1353.655,2260.83,473.031,1184.979,17.91,107.735,27.805,296.636,92.634,749.565,506.625,47.058,556.47,538.829,1814.607,1135.847,19.651,1162.209,17.745,1920.992,74.721,295.616,173.886,553.821,542.878,84.174,16.749,539.78
"g82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.974,0,0,0,173.803,0,403.945,0,0,0,0,0,0,0,0,0,0
"g83",2.845,34.695,1.473,291.864,321.068,18.59,7.676,3.084,0,67.094,1.51,40.986,11.672,50.813,904.765,3815.67,16.109,48.21,26.773,82.931,3.322,0.439,1334.325,0,455.57,263.145,120.403,48.207,0,36.56,11.291,4.999,4.824,0,0,3.556,446.353,1.738,73.703,12.436,126.014,187.459,25.901,15.337,5.19,840.891,1.218,8.868,17.401,16.522
"g84",58.036,19.275,0,0,0,0,0,0,0,241.663,0,0,0,48.323,0,0,0,0,0,0,0,0,0,0,0,0,1.768,0,0,0,0,0,0,0,0,0,0,0,0,1.968,0,0,0,0,3.722,0,0,0,0,0
"g85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g86",0,0,0,0,0,6.197,0,0,2.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0,0,0,0,0,0,0,0
"g87",679.911,3.855,818.598,329.844,135.697,62.029,2.178,20.295,97.678,351.563,572.364,117.495,40.851,0,684.014,8.706,838.788,1073.719,65.799,533.778,302.453,3.081,164.043,604.536,387.865,123.802,451.023,112.859,33.328,7.913,249.868,1.674,10.57,248.633,190.068,11.321,19.45,627.664,46.218,103.131,1236.565,13.2,206.157,1254.448,775.813,60.304,247.419,400.472,320.36,173.997
"g88",284.517,3.855,72.626,125.623,491.369,90.658,237.887,15.422,355.253,24.354,12.445,9.417,541.271,291.187,138.828,3164.795,966.912,1212.289,7.197,428.501,545.216,15.406,358.27,485.72,25.773,591.054,67.185,313.3,43.318,385.512,237.602,41.561,210.663,637.867,247.577,0,562.408,1.671,487.946,0,0,1.32,691.405,78.894,60.085,52.941,190.512,511.18,77.357,2.534
"g89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g91",0,0,22.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g93",0,7.71,512.511,2.094,376.252,6.197,6.344,3.084,28.195,0,0,0,0,0,0,11.608,0,408.833,3.599,506.866,317.875,0,409.451,0,0,0,134.37,1.791,0,0,196.617,0,71.635,0,0,63.216,1.991,0,51.94,0,0,0,0.659,29.191,348.335,0,0,0.985,3.102,0
