"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50"
"g289",0,0,249.439,0,0,0,751.205,133.431,0,0,0,0,0,0,0,0,2.874,1.544,25.19,0,106.273,0,0,3.154,0,0,0,324.245,15.342,28.981,0,0,135.588,0,0,5.029,0,0,0,0,0,0,0,0,0,0,19.234,128.167,0,0
"g290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.068
"g291",0,1665.384,12.45,18.843,2.056,6.197,0,3.084,12.282,0.937,0,301.331,31.98,0,2.548,0,8.046,224.214,28.788,79.256,573.663,8.473,3.937,6.308,373.703,12.967,0,1.791,9.927,173.009,0,0,0,3.179,6.19,17.959,118.444,101.107,0,86.582,5695.695,1409.858,262.108,0,20.206,52.588,50.376,33.5,1.551,127.98
"g292",0,0,0,2.094,6.168,12.889,5.561,4.133,3.823,3.878,0,7.368,3.137,2.825,1.159,2.902,0.621,0.973,1.727,0.729,6.118,7.364,100.893,1.53,1.289,0,3.695,0,0,0,2.036,0,13.507,3.537,1.965,4.734,0,4.395,7.575,0,8.225,11.168,0,0,0,6.181,0.916,0.985,13.679,6.753
"g293",0,0,0,0,0,0,0,0,0,27.164,0,0,0,0,1.274,0,0,0,0,0,0,0,0,0,0,0,0,1.791,0,0,0,0,0,0,0,0,0,1.671,0,0,0,0,0,0,0,0,0,0,0,0
"g294",110.41,334.65,99.601,0,92.521,802.972,0,40.097,30.45,0,0,0,0,0,0,60.941,136.204,0,0,0,0,0,0,0,0,0,19.448,5.374,0,0,0,0,15.607,0,0,0,0,0,0,0,0,64.682,1.317,50.492,0,44.829,0.916,222.676,0,0
"g295",465.448,0,91.301,69.386,76.073,933.352,1.057,132.629,477.053,707.191,540.529,0,691.105,1.239,110.828,0,0.575,1597.727,34.186,1250.237,968.519,1.541,292.954,59.928,640.45,325.315,24.752,1335.999,964.746,1407.795,1.93,0,136.808,498.283,323.408,1036.596,6.968,278.253,795.874,11.807,17.366,679.597,767.924,48.914,403.05,136.212,10.075,2047.812,0,0
"g296",380.772,4810.998,327.854,939.074,771.008,92.951,1920.012,4347.08,516.853,126.686,1019.687,14.125,5.836,133.816,1614.015,133.489,975.027,1050.702,46.781,8.417,316.758,192.786,564.74,827.958,42.551,255.643,1301.992,1746.536,1328.431,1303.208,551.876,3511.664,1662.407,26.227,101.355,223.411,1443.985,596.697,13.851,43.291,1521.066,923.898,736.932,29.98,175.47,1224.74,88.845,4.926,134.909,31.523
"g297",0,0,85.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.577,0,0,1202.258,0,0,0,0,0,0,0,0,0,0,1.671,0,0,0,0,0,0,0,0,0,0,0,0
"g298",0,0,0,77.468,0,0,0,0,49.623,0,3.319,0,0,0,0,0,0,44.86,0,0,0,0,0,0,0,9.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862,0,0,0,26.607
